# freq   SSP(yyz)   PPP(zzz)
1550 8.442188877e-06 2.022653902e-06
1551 8.471066069e-06 2.038105902e-06
1552 8.497653006e-06 2.053484574e-06
1553 8.521782894e-06 2.068772424e-06
1554 8.543280172e-06 2.083950661e-06
1555 8.561960239e-06 2.098999116e-06
1556 8.577629192e-06 2.113896154e-06
1557 8.590083611e-06 2.128618577e-06
1558 8.599110378e-06 2.143141525e-06
1559 8.604486555e-06 2.157438377e-06
1560 8.605979335e-06 2.17148064e-06
1561 8.603346072e-06 2.185237833e-06
1562 8.596334435e-06 2.198677373e-06
1563 8.584682682e-06 2.211764449e-06
1564 8.568120113e-06 2.224461898e-06
1565 8.54636771e-06 2.236730074e-06
1566 8.519139036e-06 2.248526715e-06
1567 8.48614142e-06 2.259806815e-06
1568 8.447077507e-06 2.270522482e-06
1569 8.401647234e-06 2.280622818e-06
1570 8.349550333e-06 2.290053789e-06
1571 8.290489448e-06 2.298758105e-06
1572 8.224174014e-06 2.306675127e-06
1573 8.150325029e-06 2.31374077e-06
1574 8.068680907e-06 2.319887448e-06
1575 7.979004628e-06 2.325044047e-06
1576 7.881092443e-06 2.329135935e-06
1577 7.774784438e-06 2.33208504e-06
1578 7.659977343e-06 2.333809986e-06
1579 7.536640022e-06 2.334226335e-06
1580 7.404832189e-06 2.333246932e-06
1581 7.264727009e-06 2.330782406e-06
1582 7.116638369e-06 2.326741852e-06
1583 6.961053773e-06 2.321033741e-06
1584 6.79867403e-06 2.313567125e-06
1585 6.630461137e-06 2.304253199e-06
1586 6.457696077e-06 2.293007312e-06
1587 6.282048637e-06 2.279751551e-06
1588 6.105661796e-06 2.264418017e-06
1589 5.931253821e-06 2.246952986e-06
1590 5.762241951e-06 2.227322167e-06
1591 5.602892382e-06 2.205517327e-06
1592 5.458502438e-06 2.181564646e-06
1593 5.335622157e-06 2.155535221e-06
1594 5.242324291e-06 2.127558278e-06
1595 5.188533881e-06 2.097837796e-06
1596 5.186431359e-06 2.066673431e-06
1597 5.250946589e-06 2.03448687e-06
1598 5.400365718e-06 2.001855065e-06
1599 5.657078325e-06 1.969552223e-06
1600 6.048499553e-06 1.938602913e-06
1601 6.608211153e-06 1.910349408e-06
1602 7.377377163e-06 1.886537247e-06
1603 8.406505247e-06 1.869424212e-06
1604 9.757644411e-06 1.861919505e-06
1605 1.150713539e-05 1.867761991e-06
1606 1.374906322e-05 1.891749172e-06
1607 1.659960488e-05 1.940032238e-06
1608 2.020252138e-05 2.02049755e-06
1609 2.47361179e-05 2.143261529e-06
1610 3.042209248e-05 2.321314916e-06
1611 3.753682136e-05 2.571364456e-06
1612 4.642579577e-05 2.914936389e-06
1613 5.752214355e-05 3.379828228e-06
1614 7.137045401e-05 4.00202513e-06
1615 8.865749304e-05 4.828237476e-06
1616 0.0001102518689 5.919270289e-06
1617 0.0001372553048 7.354507272e-06
1618 0.0001710689076 9.2378871e-06
1619 0.0002134786804 1.170587215e-05
1620 0.0002667654633 1.493806299e-05
1621 0.000333845346 1.917129318e-05
1622 0.0004184470499 2.471823285e-05
1623 0.0005253321536 3.199169177e-05
1624 0.0006605610862 4.153584631e-05
1625 0.0008318003217 5.406532009e-05
1626 0.001048650542 7.051206165e-05
1627 0.001322946223 9.207765825e-05
1628 0.00166892706 0.0001202841592
1629 0.002103104552 0.0001570084582
1630 0.00264354408 0.0002044728867
1631 0.003308178244 0.0002651487346
1632 0.004111732341 0.0003415155136
1633 0.005061017298 0.000435621139
1634 0.006148911393 0.0005484308147
1635 0.007348390682 0.0006790581211
1636 0.008609179876 0.0008241313246
1637 0.009860105447 0.0009776817964
1638 0.01101897309 0.001131909812
1639 0.01200861883 0.001278893299
1640 0.01277430187 0.001412850561
1641 0.01329622321 0.001532216131
1642 0.01359271691 0.001640777032
1643 0.01371342723 0.001747472095
1644 0.01372548364 0.001865005878
1645 0.01369771023 0.002007899654
1646 0.01368758619 0.002190746365
1647 0.01373347744 0.00242718158
1648 0.01385203688 0.002729596708
1649 0.01403906179 0.003109175459
1650 0.01427195603 0.003575615961
1651 0.01451279179 0.004135965409
1652 0.01471207572 0.004792327872
1653 0.01481411514 0.005538760445
1654 0.01476487052 0.006358329589
1655 0.01452204576 0.007221778172
1656 0.01406517867 0.008089102376
1657 0.01340192243 0.008914243595
1658 0.01256722522 0.009651450994
1659 0.01161509361 0.01026082867
1660 0.01060618356 0.01071113314
1661 0.009595997063 0.01097973584
1662 0.008627194279 0.01105142359
1663 0.007726946585 0.01091817884
1664 0.00690824664 0.01058107464
1665 0.006173381303 0.01005359345
1666 0.005517983598 0.009364094936
1667 0.00493459661 0.008554916917
1668 0.004415187395 0.007677151645
1669 0.003952488043 0.006782601349
1670 0.003540387382 0.005915973333
1671 0.003173773798 0.005109945781
1672 0.002848205676 0.004383948971
1673 0.002559637205 0.003745836518
1674 0.002304271647 0.003194951553
1675 0.002078520867 0.002725315696
1676 0.001879021852 0.002328238293
1677 0.001702669114 0.001994140319
1678 0.001546640068 0.001713670858
1679 0.001408405277 0.001478296524
1680 0.001285723893 0.001280544492
1681 0.001176628071 0.001114040552
1682 0.001079400644 0.0009734389957
1683 0.0009925496467 0.0008543046221
1684 0.0009147822714 0.0007529814963
1685 0.0008449798603 0.0006664665824
1686 0.0007821748564 0.0005922965361
1687 0.0007255301134 0.000528450398
1688 0.0006743206627 0.0004732680604
1689 0.0006279178448 0.000425383037
1690 0.0005857756178 0.0003836675881
1691 0.000547418812 0.0003471882057
1692 0.0005124330912 0.0003151696259
1693 0.0004804563923 0.0002869657806
1694 0.0004511716331 0.0002620363515
1695 0.0004243005017 0.0002399278313
1696 0.0003995981656 0.0002202581985
1697 0.0003768487601 0.0002027044919
1698 0.0003558615364 0.0001869927089
1699 0.0003364675685 0.0001728895708
1700 0.0003185169323 0.0001601957894
