# freq   SSP(yyz)   PPP(zzz)
1550 9.170807544e-05 9.513950842e-06
1551 9.31067958e-05 9.698124979e-06
1552 9.45349615e-05 9.887694306e-06
1553 9.599326713e-05 1.00828727e-05
1554 9.748241867e-05 1.028388484e-05
1555 9.900313292e-05 1.049096693e-05
1556 0.0001005561366 1.070436735e-05
1557 0.0001021421656 1.09243475e-05
1558 0.0001037619638 1.115118261e-05
1559 0.0001054162816 1.138516262e-05
1560 0.0001071058749 1.16265932e-05
1561 0.0001088315028 1.187579678e-05
1562 0.0001105939263 1.213311367e-05
1563 0.0001123939055 1.23989033e-05
1564 0.0001142321971 1.267354556e-05
1565 0.0001161095516 1.295744222e-05
1566 0.0001180267102 1.32510185e-05
1567 0.0001199844002 1.355472477e-05
1568 0.0001219833316 1.386903839e-05
1569 0.0001240241919 1.41944657e-05
1570 0.0001261076403 1.453154423e-05
1571 0.0001282343024 1.488084506e-05
1572 0.0001304047626 1.524297544e-05
1573 0.0001326195568 1.56185816e-05
1574 0.0001348791638 1.600835189e-05
1575 0.0001371839957 1.641302021e-05
1576 0.0001395343874 1.683336966e-05
1577 0.0001419305848 1.727023674e-05
1578 0.0001443727319 1.772451581e-05
1579 0.0001468608563 1.819716409e-05
1580 0.0001493948536 1.868920709e-05
1581 0.0001519744703 1.920174472e-05
1582 0.0001545992848 1.973595793e-05
1583 0.0001572686872 2.029311609e-05
1584 0.0001599818574 2.087458521e-05
1585 0.0001627377417 2.1481837e-05
1586 0.0001655350283 2.211645894e-05
1587 0.0001683721211 2.278016549e-05
1588 0.0001712471137 2.347481051e-05
1589 0.0001741577628 2.420240117e-05
1590 0.0001771014624 2.496511335e-05
1591 0.0001800752208 2.576530885e-05
1592 0.0001830756404 2.660555462e-05
1593 0.0001860989051 2.748864409e-05
1594 0.0001891407766 2.841762108e-05
1595 0.0001921966049 2.939580635e-05
1596 0.0001952613596 3.042682717e-05
1597 0.0001983296894 3.151465022e-05
1598 0.0002013960209 3.266361798e-05
1599 0.0002044547121 3.387848904e-05
1600 0.0002075002794 3.516448228e-05
1601 0.0002105277257 3.65273252e-05
1602 0.0002135330031 3.797330627e-05
1603 0.0002165136601 3.950933076e-05
1604 0.0002194697344 4.114297943e-05
1605 0.000222404979 4.288256858e-05
1606 0.0002253285341 4.473720894e-05
1607 0.0002282572022 4.671685979e-05
1608 0.0002312185349 4.88323724e-05
1609 0.0002342550138 5.10955142e-05
1610 0.0002374297127 5.351896082e-05
1611 0.000240833962 5.611623744e-05
1612 0.0002445977289 5.890158254e-05
1613 0.0002489036853 6.188969571e-05
1614 0.0002540062904 6.509531513e-05
1615 0.000260257702 6.853254823e-05
1616 0.0002681429898 7.221385004e-05
1617 0.0002783280239 7.614850443e-05
1618 0.0002917246078 8.034041499e-05
1619 0.0003095790105 8.478495467e-05
1620 0.0003335920805 8.946456393e-05
1621 0.000366081628 9.434274478e-05
1622 0.0004102006056 9.935611581e-05
1623 0.0004702274019 0.0001044043613
1624 0.0005519462241 0.0001093384011
1625 0.0006631338774 0.0001139482548
1626 0.000814159959 0.0001179544463
1627 0.001018683028 0.0001210113243
1628 0.001294373684 0.0001227387112
1629 0.001663500521 0.0001228114126
1630 0.002153061499 0.0001211551664
1631 0.002793933872 0.0001183202359
1632 0.003618306255 0.0001161195623
1633 0.004654607565 0.0001186022188
1634 0.005919550999 0.0001333435774
1635 0.007408081038 0.0001728313916
1636 0.009083924276 0.0002554259025
1637 0.01087525271 0.0004051082612
1638 0.01268001788 0.0006492633954
1639 0.01438254894 0.001014291051
1640 0.01587787585 0.001519833876
1641 0.01709593215 0.002173410189
1642 0.0180170851 0.002967622619
1643 0.01867373163 0.003881427398
1644 0.01913819312 0.004885262257
1645 0.01950219467 0.005947969729
1646 0.01985541158 0.0070426195
1647 0.02026902926 0.008149078397
1648 0.02078646288 0.009252841597
1649 0.02141998371 0.01034106057
1650 0.02215071716 0.01139729351
1651 0.02293026486 0.01239649878
1652 0.02368400031 0.01330171082
1653 0.02431770492 0.01406388585
1654 0.02472958361 0.01462624379
1655 0.02482801673 0.01493342144
1656 0.0245517998 0.01494363258
1657 0.02388606562 0.01463972111
1658 0.02286677753 0.01403441691
1659 0.02157115864 0.01316747546
1660 0.02009809708 0.01209644916
1661 0.01854662204 0.010885649
1662 0.01699960604 0.009597594167
1663 0.01551577123 0.008288712332
1664 0.0141292265 0.00700836534
1665 0.01285389764 0.005798959654
1666 0.01169005943 0.00469526773
1667 0.01063077831 0.00372254716
1668 0.009666854115 0.002894523417
1669 0.008789680095 0.002212777265
1670 0.007992220713 0.001668315882
1671 0.007268803379 0.001244863882
1672 0.006614485403 0.0009226712427
1673 0.006024504006 0.0006817340621
1674 0.005493995966 0.0005038979642
1675 0.005017959602 0.0003738609747
1676 0.004591355168 0.0002793749524
1677 0.004209248673 0.0002109874471
1678 0.003866941493 0.0001615883293
1679 0.003560062109 0.0001259235857
1680 0.003284617284 0.000100157164
1681 0.003037009667 8.151013098e-05
1682 0.00281403143 6.797899932e-05
1683 0.002612842763 5.812316497e-05
1684 0.002430942062 5.090796214e-05
1685 0.002266132647 4.55904024e-05
1686 0.002116489095 4.163671911e-05
1687 0.001980325079 3.866317205e-05
1688 0.00185616369 3.639366333e-05
1689 0.00174271068 3.462941694e-05
1690 0.001638830717 3.322728058e-05
1691 0.001543526543 3.208417956e-05
1692 0.001455920792 3.112595915e-05
1693 0.001375240237 3.02993603e-05
1694 0.001300802156 2.956623625e-05
1695 0.001232002569 2.88993751e-05
1696 0.001168306096 2.827947629e-05
1697 0.001109237213 2.769295809e-05
1698 0.001054372709 2.713036538e-05
1699 0.001003335175 2.658521198e-05
1700 0.0009557873832 2.60531384e-05
