# freq   SSP(yyz)   PPP(zzz)
1550 1.228835388e-05 1.182131048e-06
1551 1.252663987e-05 1.225038435e-06
1552 1.277170831e-05 1.270033245e-06
1553 1.302380967e-05 1.317242349e-06
1554 1.328320555e-05 1.366801864e-06
1555 1.355016928e-05 1.418857947e-06
1556 1.382498649e-05 1.473567652e-06
1557 1.410795573e-05 1.531099883e-06
1558 1.439938915e-05 1.591636437e-06
1559 1.469961317e-05 1.655373152e-06
1560 1.500896926e-05 1.722521172e-06
1561 1.532781465e-05 1.793308347e-06
1562 1.56565232e-05 1.867980773e-06
1563 1.599548624e-05 1.946804499e-06
1564 1.634511345e-05 2.030067415e-06
1565 1.670583382e-05 2.118081346e-06
1566 1.707809669e-05 2.211184374e-06
1567 1.746237272e-05 2.309743418e-06
1568 1.785915505e-05 2.414157108e-06
1569 1.826896047e-05 2.524858984e-06
1570 1.869233055e-05 2.642321059e-06
1571 1.912983301e-05 2.767057815e-06
1572 1.958206297e-05 2.899630651e-06
1573 2.00496444e-05 3.040652889e-06
1574 2.053323153e-05 3.190795369e-06
1575 2.103351038e-05 3.350792752e-06
1576 2.155120034e-05 3.521450604e-06
1577 2.208705582e-05 3.703653385e-06
1578 2.264186791e-05 3.898373464e-06
1579 2.321646619e-05 4.106681317e-06
1580 2.381172056e-05 4.329757083e-06
1581 2.442854306e-05 4.568903667e-06
1582 2.506788988e-05 4.825561648e-06
1583 2.573076335e-05 5.10132625e-06
1584 2.641821397e-05 5.397966715e-06
1585 2.713134254e-05 5.717448445e-06
1586 2.787130235e-05 6.061958376e-06
1587 2.863930142e-05 6.433934102e-06
1588 2.943660481e-05 6.836097382e-06
1589 3.026453709e-05 7.271492771e-06
1590 3.112448488e-05 7.743532251e-06
1591 3.201789963e-05 8.256046925e-06
1592 3.294630065e-05 8.813347017e-06
1593 3.391127853e-05 9.420291692e-06
1594 3.491449916e-05 1.008237049e-05
1595 3.595770852e-05 1.080579856e-05
1596 3.704273865e-05 1.159762831e-05
1597 3.817151528e-05 1.246588065e-05
1598 3.93460679e-05 1.341969969e-05
1599 4.056854306e-05 1.446953557e-05
1600 4.184122262e-05 1.562736118e-05
1601 4.31665485e-05 1.690692976e-05
1602 4.454715705e-05 1.832408199e-05
1603 4.598592642e-05 1.989711312e-05
1604 4.748604262e-05 2.164721335e-05
1605 4.905109128e-05 2.35989974e-05
1606 5.068518563e-05 2.578114343e-05
1607 5.239314507e-05 2.822716618e-05
1608 5.418074444e-05 3.097635511e-05
1609 5.605506229e-05 3.407491609e-05
1610 5.802496812e-05 3.757736456e-05
1611 6.010180444e-05 4.154822961e-05
