# freq   SSP(yyz)   PPP(zzz)
1550 3.485061873e-06 0.0002022145414
1551 3.510018543e-06 0.0002068452861
1552 3.534675276e-06 0.0002116345151
1553 3.558990238e-06 0.0002165894535
1554 3.58291869e-06 0.0002217177382
1555 3.606412823e-06 0.0002270274469
1556 3.629421567e-06 0.0002325271279
1557 3.651890414e-06 0.0002382258336
1558 3.673761217e-06 0.000244133156
1559 3.694971992e-06 0.0002502592656
1560 3.715456712e-06 0.0002566149533
1561 3.735145096e-06 0.0002632116755
1562 3.753962399e-06 0.0002700616044
1563 3.771829197e-06 0.0002771776809
1564 3.788661177e-06 0.0002845736733
1565 3.804368933e-06 0.000292264241
1566 3.818857766e-06 0.0003002650039
1567 3.832027505e-06 0.0003085926181
1568 3.843772349e-06 0.0003172648583
1569 3.853980728e-06 0.0003263007083
1570 3.862535215e-06 0.0003357204602
1571 3.869312476e-06 0.0003455458226
1572 3.874183299e-06 0.0003558000392
1573 3.877012684e-06 0.00036650802
1574 3.877660059e-06 0.0003776964843
1575 3.875979609e-06 0.0003893941192
1576 3.871820774e-06 0.0004016317537
1577 3.865028948e-06 0.0004144425506
1578 3.855446422e-06 0.0004278622194
1579 3.842913635e-06 0.0004419292512
1580 3.827270807e-06 0.0004566851789
1581 3.808360025e-06 0.0004721748662
1582 3.786027907e-06 0.0004884468289
1583 3.76012896e-06 0.0005055535911
1584 3.730529789e-06 0.0005235520839
1585 3.69711436e-06 0.000542504089
1586 3.659790546e-06 0.0005624767345
1587 3.61849825e-06 0.0005835430509
1588 3.573219457e-06 0.0006057825929
1589 3.523990665e-06 0.0006292821388
1590 3.470918237e-06 0.000654136477
1591 3.41419734e-06 0.0006804492913
1592 3.354135315e-06 0.000708334161
1593 3.291180515e-06 0.0007379156912
1594 3.225957884e-06 0.0007693307926
1595 3.159312921e-06 0.0008027301338
1596 3.092366001e-06 0.0008382797921
1597 3.026579619e-06 0.0008761631327
1598 2.963841699e-06 0.0009165829524
1599 2.906568987e-06 0.0009597639295
1600 2.857835589e-06 0.001005955427
1601 2.821533052e-06 0.00105543471
1602 2.802570146e-06 0.001108510636
1603 2.80712275e-06 0.001165527905
1604 2.842947101e-06 0.001226871952
1605 2.919773472e-06 0.001292974595
1606 3.049802165e-06 0.00136432055
1607 3.248330061e-06 0.001441454966
1608 3.534544253e-06 0.001524992135
1609 3.932530026e-06 0.001615625551
1610 4.472554609e-06 0.001714139541
1611 5.192706483e-06 0.001821422667
1612 6.140994091e-06 0.001938483132
1613 7.378039041e-06 0.002066466414
1614 8.980539271e-06 0.002206675302
1615 1.104572951e-05 0.002360592439
1616 1.369713174e-05 0.002529905287
1617 1.709196944e-05 0.002716533159
1618 2.143071555e-05 0.00292265543
1619 2.696935248e-05 0.003150739236
1620 3.403502895e-05 0.003403563647
1621 4.304587523e-05 0.003684235242
1622 5.453572269e-05 0.003996186938
1623 6.918424967e-05 0.004343147326
1624 8.785242953e-05 0.004729061293
