# freq   SSP(yyz)   PPP(zzz)
1550 6.73827503e-05 0.0001510508654
1551 6.846067858e-05 0.0001542732686
1552 6.956299454e-05 0.0001576001449
1553 7.069035753e-05 0.0001610360675
1554 7.184344403e-05 0.0001645858627
1555 7.302294783e-05 0.0001682546272
1556 7.422957998e-05 0.0001720477464
1557 7.54640688e-05 0.0001759709139
1558 7.672715977e-05 0.0001800301534
1559 7.801961532e-05 0.0001842318417
1560 7.934221451e-05 0.0001885827336
1561 8.069575263e-05 0.0001930899897
1562 8.208104065e-05 0.0001977612053
1563 8.349890448e-05 0.000202604443
1564 8.495018414e-05 0.0002076282671
1565 8.643573263e-05 0.0002128417821
1566 8.795641467e-05 0.0002182546735
1567 8.951310512e-05 0.0002238772531
1568 9.110668715e-05 0.0002297205083
1569 9.27380501e-05 0.0002357961553
1570 9.440808693e-05 0.0002421166986
1571 9.611769134e-05 0.0002486954945
1572 9.786775435e-05 0.0002555468224
1573 9.965916048e-05 0.0002626859617
1574 0.0001014927833 0.0002701292768
1575 0.0001033694802 0.0002778943111
1576 0.000105290087 0.0002859998894
1577 0.0001072554112 0.0002944662323
1578 0.0001092662246 0.0003033150811
1579 0.0001113232551 0.0003125698368
1580 0.0001134271775 0.000322255714
1581 0.0001155786034 0.000332399911
1582 0.0001177780692 0.0003430317993
1583 0.000120026024 0.0003541831342
1584 0.0001223228156 0.0003658882889
1585 0.0001246686754 0.0003781845161
1586 0.0001270637018 0.0003911122403
1587 0.0001295078432 0.0004047153846
1588 0.0001320008794 0.000419041737
1589 0.0001345424023 0.0004341433614
1590 0.0001371317969 0.0004500770603
1591 0.0001397682219 0.0004669048954
1592 0.0001424505929 0.000484694775
1593 0.000145177567 0.0005035211181
1594 0.0001479475327 0.0005234656057
1595 0.0001507586076 0.0005446180332
1596 0.0001536086458 0.0005670772783
1597 0.0001564952625 0.0005909524027
1598 0.0001594158801 0.0006163639071
1599 0.0001623678069 0.0006434451645
1600 0.0001653483596 0.0006723440584
1601 0.0001683550471 0.0007032248588
1602 0.0001713858372 0.0007362703725
1603 0.0001744395389 0.0007716844121
1604 0.0001775163398 0.0008096946316
1605 0.000180618556 0.0008505557869
1606 0.0001837516709 0.0008945534846
1607 0.000186925767 0.0009420084927
1608 0.000190157491 0.0009932816904
1609 0.0001934727477 0.001048779746
1610 0.000196910384 0.001108961605
1611 0.0002005272269 0.001174345879
1612 0.0002044049718 0.001245519192
1613 0.0002086596042 0.001323145532
1614 0.0002134542966 0.001407976558
1615 0.0002190170786 0.001500862729
1616 0.0002256650702 0.001602764908
1617 0.0002338377426 0.001714765782
1618 0.0002441425919 0.001838079961
1619 0.0002574178519 0.001974060795
1620 0.0002748185077 0.002124200799
1621 0.0002979339792 0.002290120698
1622 0.0003289484058 0.002473539464
1623 0.0003708573249 0.002676213794
1624 0.000427757148 0.002899830113
1625 0.000505224904 0.003145825217
1626 0.0006108025881 0.003415103494
1627 0.0007545881659 0.003707611345
1628 0.0009499055565 0.004021727611
1629 0.001213966775 0.004353442677
1630 0.001568337688 0.004695345713
1631 0.002038869951 0.005035543451
1632 0.002654592523 0.005356815353
1633 0.003444961085 0.005636554959
1634 0.004435029183 0.00584825356
1635 0.005638752764 0.005965217108
1636 0.007051801955 0.005966577404
1637 0.008646441881 0.005844398023
1638 0.01037122096 0.005609321495
1639 0.01215654837 0.005291837454
1640 0.01392431264 0.004937622186
1641 0.01559748833 0.004597959365
1642 0.01710593304 0.004318416984
1643 0.0183871366 0.004129498282
1644 0.01938385795 0.004041892577
1645 0.02004262133 0.004047061092
1646 0.02031690483 0.004122161895
1647 0.02017629641 0.004237353103
1648 0.01961878157 0.004363338181
1649 0.01867995897 0.004477283702
1650 0.01743311088 0.004565769195
1651 0.01597841886 0.004624332202
1652 0.014425377 0.00465436269
1653 0.01287536949 0.004659037107
1654 0.0114098379 0.004640127522
1655 0.01008558615 0.004596851696
1656 0.008935661439 0.004526854113
1657 0.007973239016 0.004428421327
1658 0.007196428812 0.004302558101
1659 0.006592774434 0.004153809875
1660 0.006142826334 0.003989530861
1661 0.005822561173 0.003818112965
1662 0.005604790804 0.003647032966
1663 0.005460090127 0.003481416582
1664 0.005358005441 0.003323453897
1665 0.005269159649 0.003172682673
1666 0.005168262588 0.003026934145
1667 0.005037215044 0.002883574243
1668 0.004867039176 0.002740601285
1669 0.004657734378 0.002597256781
1670 0.004416154782 0.002454056314
1671 0.004152886107 0.002312404199
1672 0.003879289883 0.002174067272
1673 0.003605452172 0.002040730057
1674 0.003339185686 0.001913727821
1675 0.00308584986 0.00179394994
1676 0.0028486429 0.001681858667
1677 0.002629079111 0.001577565377
1678 0.002427474745 0.001480922804
1679 0.002243359615 0.001391610359
1680 0.002075791159 0.001309203212
1681 0.001923577442 0.001233223656
1682 0.001785426696 0.00116317691
1683 0.001660042298 0.00109857465
1684 0.001546179458 0.001038949504
1685 0.00144267614 0.0009838632008
1686 0.001348467293 0.0009329104367
1687 0.001262588662 0.0008857199639
1688 0.001184174407 0.0008419539471
1689 0.001112451281 0.0008013063074
1690 0.001046731124 0.0007635005276
1691 0.0009864027557 0.0007282872246
1692 0.0009309239167 0.0006954416824
1693 0.0008798136138 0.0006647614614
1694 0.0008326450643 0.0006360641481
1695 0.0007890393061 0.0006091852786
1696 0.0007486594873 0.0005839764477
1697 0.0007112058039 0.0005603036018
1698 0.0006764110415 0.000538045508
1699 0.0006440366608 0.0005170923881
1700 0.0006138693715 0.0004973447015
