# freq   SSP(yyz)   PPP(zzz)
1550 6.456094332e-07 0.001063776426
1551 6.248266998e-07 0.001084388236
1552 6.036444427e-07 0.001105606221
1553 5.821055795e-07 0.00112745443
1554 5.602608051e-07 0.001149958121
1555 5.381695799e-07 0.001173143831
1556 5.159012382e-07 0.001197039454
1557 4.935362332e-07 0.001221674329
1558 4.71167535e-07 0.001247079328
1559 4.489022029e-07 0.001273286957
1560 4.26863152e-07 0.001300331454
1561 4.05191142e-07 0.001328248907
1562 3.840470154e-07 0.001357077375
1563 3.636142197e-07 0.001386857015
1564 3.441016496e-07 0.001417630227
1565 3.257468542e-07 0.001449441802
1566 3.08819657e-07 0.00148233909
1567 2.936262463e-07 0.001516372174
1568 2.805138001e-07 0.001551594062
1569 2.698757204e-07 0.001588060899
1570 2.621575618e-07 0.001625832186
1571 2.578637541e-07 0.001664971029
1572 2.575652304e-07 0.0017055444
1573 2.619080942e-07 0.00174762343
1574 2.716234745e-07 0.00179128372
1575 2.875387465e-07 0.001836605679
1576 3.105903193e-07 0.001883674904
1577 3.418382279e-07 0.001932582579
1578 3.824828038e-07 0.001983425923
1579 4.338837441e-07 0.002036308672
1580 4.97581952e-07 0.002091341614
1581 5.75324586e-07 0.002148643169
1582 6.690938283e-07 0.002208340027
1583 7.811399712e-07 0.002270567854
1584 9.140195284e-07 0.002335472059
1585 1.070639198e-06 0.002403208652
1586 1.254306661e-06 0.002473945176
1587 1.468789362e-06 0.002547861743
1588 1.718382665e-06 0.002625152186
1589 2.007988982e-06 0.00270602532
1590 2.343209842e-06 0.002790706353
1591 2.730453192e-06 0.002879438445
1592 3.177058688e-06 0.002972484444
1593 3.691444308e-06 0.00307012882
1594 4.283278222e-06 0.003172679821
1595 4.963680739e-06 0.003280471875
1596 5.745462063e-06 0.003393868287
1597 6.643402878e-06 0.003513264252
1598 7.674586198e-06 0.003639090232
1599 8.858790804e-06 0.003771815762
1600 1.021895883e-05 0.003911953716
1601 1.178175284e-05 0.004060065126
1602 1.357822132e-05 0.004216764614
1603 1.564459567e-05 0.004382726526
1604 1.802324733e-05 0.004558691877
1605 2.076384052e-05 0.004745476213
1606 2.392472433e-05 0.004943978529
1607 2.75746189e-05 0.005155191381
1608 3.179466381e-05 0.005380212376
1609 3.668091402e-05 0.005620257225
1610 4.234739031e-05 0.005876674562
1611 4.89298188e-05 0.006150962776
1612 5.659022937e-05 0.006444789096
1613 6.552262697e-05 0.006760011186
1614 7.596000719e-05 0.007098701507
1615 8.818305907e-05 0.007463174666
1616 0.0001025309898 0.007856017902
1617 0.0001194150209 0.008280124727
1618 0.0001393352506 0.0087387315
1619 0.0001629017529 0.009235456332
1620 0.0001908610029 0.009774339066
1621 0.00022412897 0.01035988011
1622 0.0002638325059 0.01099707441
1623 0.000311360947 0.01169143441
1624 0.0003684300975 0.01244899277
1625 0.0004371608538 0.01327627012
1626 0.0005201744788 0.01418018681
1627 0.0006207055928 0.01516788723
1628 0.0007427317507 0.01624643329
1629 0.0008911141353 0.01742230826
1630 0.001071736121 0.0187006561
1631 0.001291613519 0.02008416915
1632 0.001558930263 0.0215715375
1633 0.001882924551 0.02315540211
1634 0.002273513609 0.02481983656
1635 0.002740506653 0.02653755648
1636 0.003292235404 0.02826737185
1637 0.003933474991 0.02995289612
1638 0.004662711335 0.03152414617
1639 0.00546920682 0.03290406969
1640 0.006330881278 0.03402147206
1641 0.007214450305 0.03482948649
1642 0.008078994256 0.03532486876
1643 0.008882817922 0.03556025252
1644 0.009591606798 0.03564232571
1645 0.01018482837 0.035714604
1646 0.01065806755 0.03593055354
1647 0.01102103669 0.03642610538
1648 0.01129282767 0.03729843171
1649 0.01149653226 0.03859308248
1650 0.01165481656 0.04029804247
1651 0.0117871579 0.04234262251
1652 0.01190877012 0.04460081707
1653 0.01203085458 0.04690132632
1654 0.01216161107 0.04904781798
1655 0.01230732837 0.05085096232
1656 0.01247285289 0.05216750201
1657 0.01266090531 0.05293403585
1658 0.01287014207 0.05318060068
1659 0.01309242841 0.05301589074
1660 0.01331024374 0.05258879113
1661 0.01349532248 0.05204093961
1662 0.01360959405 0.05146647716
1663 0.01360926098 0.05088988625
1664 0.01345222506 0.05026609721
1665 0.01310776019 0.04950141704
1666 0.01256561455 0.04848859179
1667 0.0118407916 0.04714438319
1668 0.01097142467 0.04543635914
1669 0.01001027815 0.04339021294
1670 0.009013420766 0.04107820419
1671 0.008030372066 0.03859719199
1672 0.007098370463 0.03604653042
1673 0.006240999109 0.03351249635
1674 0.005469829975 0.03106089314
1675 0.004787412171 0.02873612522
1676 0.004190362808 0.02656400599
1677 0.003671924112 0.02455598679
1678 0.00322380727 0.02271337549
1679 0.002837387864 0.02103087947
1680 0.00250440513 0.01949929515
1681 0.002217320157 0.01810741001
1682 0.001969458094 0.0168432724
1683 0.001755023642 0.01569499351
1684 0.001569048722 0.01465122149
1685 0.001407308821 0.0137013957
1686 0.001266229376 0.01283585878
1687 0.001142793871 0.01204588053
1688 0.001034459428 0.01132362957
1689 0.0009390822122 0.01066211646
1690 0.0008548530987 0.0100551233
1691 0.0007802430248 0.00949712878
1692 0.0007139570422 0.00898323448
1693 0.000654895928 0.00850909516
1694 0.0006021242344 0.008070854734
1695 0.0005548437525 0.007665088436
1696 0.0005123714908 0.007288751195
1697 0.000474121396 0.006939131946
1698 0.0004395891679 0.006613813402
1699 0.0004083396271 0.006310636773
1700 0.0003799961875 0.00602767089
